dummy,SMILES_rad,BDE kJ
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,511.286557
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,516.594742
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,524.842562
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,522.958248
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,513.1235
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,498.733239
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,505.683619
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,510.32861
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,506.3126
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,522.805608
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,521.355529
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,512.823483
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,496.809449
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,498.196367
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,505.086218
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,511.370772
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,518.755387
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,514.270931
OCC[C](F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)F,528.645401
OCCC(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)F,525.08468
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)F,525.37417
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)F,519.544904
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)F,522.910877
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,522.466116
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,511.233922
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,508.017957
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,512.647158
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,521.966089
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513.21561
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,504.941473
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,512.128708
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,519.808076
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,525.163632
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,517.647431
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,503.309805
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,503.070318
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,511.554993
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,517.289517
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,519.934398
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,506.670515
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,503.636138
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,505.209909
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,509.528566
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,504.128271
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,512.065547
OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,524.187263
OCCC[C](F)C(F)(F)F,OCCC[C](F)C(F)(F)F,537.845905
OCCC[C](F)C(F)(F)C(F)(F)F,OCCC[C](F)C(F)(F)C(F)(F)F,526.75056
OCCCC(F)(F)[C](F)C(F)(F)F,OCCCC(F)(F)[C](F)C(F)(F)F,527.658505
OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)F,529.724408
OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)F,524.284636
OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)F,525.432067
OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,512.473464
OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,512.149762
OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,510.004908
OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,516.081556
OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513.594578
OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,510.904958
OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,505.591509
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,520.584434
OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,531.619248
OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,523.89251
OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,514.628845
OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,502.607135
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,511.441829
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,529.458604
OCC(F)(O[C](F)C(F)(F)C(F)(F)F)C(F)(F)F,OCC(F)(O[C](F)C(F)(F)C(F)(F)F)C(F)(F)F,529.345439
OCC(F)(OC(F)(F)[C](F)C(F)(F)F)C(F)(F)F,OCC(F)(OC(F)(F)[C](F)C(F)(F)F)C(F)(F)F,535.4563
OC[C](F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC[C](F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,516.13419
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,512.149762
OCC(F)(F)C(F)([C](F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,OCC(F)(F)C(F)([C](F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,502.012365
OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)[C](F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)[C](F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,493.790863
OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)[C](F)C(F)(C(F)(F)F)C(F)(F)F,OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)[C](F)C(F)(C(F)(F)F)C(F)(F)F,498.762187
OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,519.671226
OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,513.09455
OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,500.517546
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,498.267424
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,505.920474
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(C(F)(F)F)C(F)(F)F,495.733075
OC[C](F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)CO,532.129802
OCC(F)(F)[C](F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)CO,530.721831
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,522.831925
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,508.949587
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)CO,523.166154
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,524.605706
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,503.649297
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,528.400651
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,516.876337
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,507.994272
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,511.115495
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,523.67934
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,518.397472
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,502.817673
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,493.164513
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,536.685315
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,512.481359
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,506.736308
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,504.638825
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,528.321699
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,520.931821
OCC(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,521.552908
OCC(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,515.671007
OCC(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)CO,511.262872
OCC(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)CO,OCC(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)CO,490.827543
OCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)CO,OCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)CO,520.434425
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)CO,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)CO,531.111326
NC(=O)[CH]C(F)(F)F,NC(=O)[CH]C(F)(F)F,488.480046
CO[C](C(N)=O)C(F)(F)F,CO[C](C(N)=O)C(F)(F)F,490.048553
OCC(F)(F)[CH]C(F)(F)F,OCC(F)(F)[CH]C(F)(F)F,497.198944
OC[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,OC[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,515.207824
OCC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,470.100093
OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,OCC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,470.071144
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,461.683843
OC[CH]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OC[CH]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,501.941309